REP_AGEN,Longitude,Latitude,OBJECTID,MSRI_CODE,MSRI_DESCR,COMMENT,Date,TOWN_ID,ROUTE_DES,ROUTE,BEGIN_MM,END_MM,LRS_CODE,TOWN,LOCATION
FW,-72.01730969,44.39006188,1513,Moose,NULL,NULL,9/23/94,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,State High 2 0.2 mi. e. of TH 58
FW,-72.01746962,44.39664054,1493,Moose,NULL,NULL,9/27/95,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,GRANVILLE GULF
FW,-72.01750972,44.39289121,1515,Moose,NULL,NULL,8/16/95,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,Hwy 2 0.1 mi. SE of Town Highway 58
FW,-72.01769882,44.39653388,1514,Moose,NULL,NULL,9/27/94,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,State High. 2 0.5 mi. w. of TH 45
FW,-72.01781184,44.43121428,1502,Moose,NULL,NULL,9/24/02,-9999,NULL,-9999,-9999,-9999,NULL,KILLINGTON,"Rt. 100 Jct. River Rd., (Kent Pond)"
AOT,-72.01877765,44.70930512,2063,Other,Other,house dog,4/6/05,1107,US 4,4,2.25,2.25,U004-1107,FAIR HAVEN,NULL
FW,-72.01947821,44.50025998,1494,Moose,NULL,NULL,3/10/96,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,Granville Gulf
FW,-72.02031,44.4090615,2651,Moose,NULL,NULL,4/22/01,-9999,NULL,-9999,-9999,-9999,NULL,CANAAN,"5.8 MI E OF NORTON, RTE 114"
FW,-72.02051228,44.54100075,1404,Moose,NULL,NULL,9/16/97,-9999,NULL,-9999,-9999,-9999,NULL,BARTON,I-91 mm 151 NBL
FW,-72.02126968,44.49486721,1495,Moose,NULL,NULL,5/26/00,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,RT 12-A E. GRANVILLE WALLOW
FW,-72.02329171,44.84889479,1985,Bear,NULL,NULL,11/28/01,-9999,NULL,-9999,-9999,-9999,NULL,Londonderry,RT 11 MM 20.3
FW,-72.02337719,44.40477569,2581,Moose,NULL,NULL,7/24/88,-9999,NULL,-9999,-9999,-9999,NULL,AVERILL,RT 114 OLD FIELDS FLAT
FW,-72.0234969,44.44740265,1492,Moose,NULL,NULL,5/10/94,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,Rt. 12A by Webb Falls
FW,-72.02378802,44.45038207,1497,Moose,NULL,NULL,9/21/94,-9999,NULL,-9999,-9999,-9999,NULL,GUILDHALL,SA H 1 0.6 mi. w. of TH 7
FW,-72.02481925,44.44833736,1496,Moose,NULL,NULL,1/18/97,-9999,NULL,-9999,-9999,-9999,NULL,GROTON,Rt 302 W. Groton
FW,-72.02504648,44.66735839,1504,Moose,NULL,NULL,4/27/97,-9999,NULL,-9999,-9999,-9999,NULL,LEMINGTON,Todd Hill Christmas tree plantation
FW,-72.02846173,44.55621306,1211,Moose,NULL,NULL,10/2/87,-9999,NULL,-9999,-9999,-9999,NULL,BERLIN,1/4 MI S OF MONTPELIER/BERLIN TOWNLINE
FW,-72.02865314,44.55822845,1407,Moose,NULL,NULL,6/29/02,-9999,NULL,-9999,-9999,-9999,NULL,BENNINGTON,State Office Complex (VT Rte 7 and Kocher Drive)
FW,-72.02885659,44.5542298,1405,Moose,NULL,NULL,10/22/91,-9999,NULL,-9999,-9999,-9999,NULL,BELVIDERE,Rt. 118 at intersection of Rt. 109
FW,-72.03291872,44.34507339,2769,Moose,NULL,NULL,8/2/95,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,HWY 2 0.2 MI SE TH 22
FW,-72.03599135,44.86060226,1984,Bear,NULL,NULL,6/30/00,-9999,NULL,-9999,-9999,-9999,NULL,Dover,Rt 100 btwn Mt Snow north and South
FW,-72.03669728,44.68417519,2484,Moose,NULL,NULL,5/25/98,-9999,NULL,-9999,-9999,-9999,NULL,SHEFFIELD,I-91 SBL MM 150/05
FW,-72.03734153,44.31824493,1375,Moose,NULL,NULL,6/6/00,-9999,NULL,-9999,-9999,-9999,NULL,ROYALTON,I 89 MILE 16
FW,-72.03749777,44.86210371,1983,Bear,NULL,NULL,5/19/04,-9999,NULL,-9999,-9999,-9999,NULL,DOVER,Ahmeek Rd and rt 100
FW,-72.03918745,44.30276178,2292,Moose,NULL,NULL,5/21/03,-9999,NULL,-9999,-9999,-9999,NULL,WILMINGTON,Rt 100 Approx. 2 Mi N of Wilmington Ctr
FW,-72.03920817,44.68574544,1506,Moose,NULL,NULL,10/16/97,-9999,NULL,-9999,-9999,-9999,NULL,LONDONDERRY,RT. 11 1/10 mi W of Landgrove Rd
AOT,-72.04149176,44.3318163,716,Deer RK AD,"Deer, RoadKill, Adult Doe",NULL,3/25/04,301,US 5,5,6.1,6.1,U005-0301,BARNET,NULL
FW,-72.04215355,44.43740426,1041,Moose,NULL,NULL,4/27/01,-9999,NULL,-9999,-9999,-9999,NULL,ORANGE,RTE 302 AT RIDDLE POND
FW,-72.04278179,44.43940818,2587,Moose,NULL,NULL,7/18/91,-9999,NULL,-9999,-9999,-9999,NULL,AVERILL,OLD FIELDS FLAT BY CANAAN TOWN LINE
FW,-72.04486241,44.84042151,1971,Bear,NULL,NULL,10/8/95,-9999,NULL,-9999,-9999,-9999,NULL,WESTMORE,RT5A .5 mi.S. WESTMORE
FW,-72.04561568,44.44217479,2583,Moose,NULL,NULL,10/17/87,-9999,NULL,-9999,-9999,-9999,NULL,AVERILL,OLD FIELDS FLAT
AOT,-72.04643453,44.35395177,540,Deer RK AD,"Deer, RoadKill, Adult Doe",NULL,3/25/04,301,US 5,5,7.7,7.7,U005-0301,BARNET,NULL
FW,-72.04660748,44.86775112,2538,Moose,NULL,NULL,5/20/98,-9999,NULL,-9999,-9999,-9999,NULL,BOLTON,I-89 MM 70 SBL
AOT,-72.04744638,44.91729996,2023,Other,Other,Skunk,10/21/04,609,I 89,89,124.35,124.35,I089-0609,HIGHGATE,NULL
FW,-72.04744953,44.74129933,2860,Moose,NULL,NULL,7/26/91,-9999,NULL,-9999,-9999,-9999,NULL,BELVIDERE,RT 118 1/4 MI S OF TOWN LINE
FW,-72.04771757,44.74188587,2861,Moose,NULL,NULL,5/14/94,-9999,NULL,-9999,-9999,-9999,NULL,BELVIDERE,rt 118 by town line
FW,-72.05102541,44.85937065,1975,Bear,NULL,NULL,7/2/00,-9999,NULL,-9999,-9999,-9999,NULL,WOODBURY,"RTE 14, 1/10 SOUTH OF BAILEY BRIDGE RD"
FW,-72.05247009,44.75608006,2576,Moose,NULL,NULL,10/11/01,-9999,NULL,-9999,-9999,-9999,NULL,AVERILL,"OLD FIELDS FLAT, JUST WEST OF TOWNLINE"
AOT,-72.05306521,44.44424662,465,Deer RK AB,"Deer, RoadKill, Adult Buck",Approximate weight 145 pounds,12/29/04,311,US 2,2,0.4,0.4,U002-0311,ST. JOHNSBUR,NULL
FW,-72.05320466,44.85516548,1979,Bear,NULL,NULL,7/9/03,-9999,NULL,-9999,-9999,-9999,NULL,WORCESTER,RT 12 NEAR DOWNS ROAD
FW,-72.05382735,44.84440102,1970,Bear,NULL,NULL,10/8/95,-9999,NULL,-9999,-9999,-9999,NULL,WESTMORE,RT5A .5 Mi. S. WESTMORE
AOT,-72.05453605,44.15140535,802,Deer RK AB,"Deer, RoadKill, Adult Buck",NULL,9/28/04,907,US 302,302,4.2,4.2,U302-0907,NEWBURY,NULL
FW,-72.05758281,44.29841221,1377,Moose,NULL,NULL,8/8/94,-9999,NULL,-9999,-9999,-9999,NULL,SHARON,WHITE RIVER NEAR OLD SHARON DAM
FW,-72.05953931,44.99159532,2805,Moose,NULL,NULL,6/17/94,-9999,NULL,-9999,-9999,-9999,NULL,NORTON,NORTH END OF NORTON POND
FW,-72.0607425,44.55109776,2506,Moose,NULL,NULL,9/13/90,-9999,NULL,-9999,-9999,-9999,NULL,SUTTON,RT 5 NEAR PUMPING STATION
FW,-72.06103496,44.69268777,2485,Moose,NULL,NULL,6/9/98,-9999,NULL,-9999,-9999,-9999,NULL,SHEFFIELD,I-91 SBL MM 150/75
FW,-72.06355154,44.83713599,1978,Bear,NULL,NULL,11/11/00,-9999,NULL,-9999,-9999,-9999,NULL,WORCESTER,RT 12  2 MILES S OF ELMORE LINE
FW,-72.06460945,44.83564926,1974,Bear,NULL,NULL,11/23/88,-9999,NULL,-9999,-9999,-9999,NULL,WINHALL,RT 11 BETWEEN BROMLEY MT. AND KUNDSHAR LODGE
FW,-72.06467266,44.83556843,1976,Bear,NULL,NULL,6/14/94,-9999,NULL,-9999,-9999,-9999,NULL,WOLCOTT,N. WOLCOTT RD BY SAND HILL RD.
FW,-72.06479313,44.83540762,1977,Bear,NULL,NULL,11/20/92,-9999,NULL,-9999,-9999,-9999,NULL,WOODFORD,RT9-500FT E. DUNVILLE BRIDGE
FW,-72.06493579,44.83510526,1973,Bear,NULL,NULL,5/19/01,-9999,NULL,-9999,-9999,-9999,NULL,WINDSOR,I-91 SB MM 59/55
FW,-72.06493737,44.83518086,1972,Bear,NULL,NULL,9/13/93,-9999,NULL,-9999,-9999,-9999,NULL,WILLIAMSTOWN,I 89 N. MM 34/50
FW,-72.06521889,44.8347445,1969,Bear,NULL,NULL,10/6/95,-9999,NULL,-9999,-9999,-9999,NULL,WESTMINSTER,I 91 MM24/95
FW,-72.06749424,44.58399682,1287,Moose,NULL,NULL,6/3/99,-9999,NULL,-9999,-9999,-9999,NULL,WATERBURY,I-89 MM 66 SBL
FW,-72.06777507,44.21344082,1440,Moose,NULL,NULL,12/31/01,-9999,NULL,-9999,-9999,-9999,NULL,COLCHESTER,I-89 SB OUT OF MALLETS CREEK
FW,-72.06909681,44.43967455,1395,Moose,NULL,NULL,10/21/88,-9999,NULL,-9999,-9999,-9999,NULL,WINDSOR,RT 5 S OF VILLAGE
FW,-72.07261287,44.27174388,1376,Moose,NULL,NULL,5/23/91,-9999,NULL,-9999,-9999,-9999,NULL,SHARON,I 89 MM 15
FW,-72.07652978,44.69527296,1509,Moose,NULL,NULL,7/13/97,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,2.0 mi S of Lowell rte 100
AOT,-72.07791479,44.43460105,490,Deer RK AD,"Deer, RoadKill, Adult Doe",NULL,6/30/05,303,US 2,2,8,8,U002-0303,DANVILLE,NULL
FW,-72.08278871,44.17111854,2678,Moose,NULL,NULL,8/30/96,-9999,NULL,-9999,-9999,-9999,NULL,CANAAN,Rt 114 1 mile west of Wallace Pond
FW,-72.08284481,44.69575768,1508,Moose,NULL,NULL,7/26/96,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,1.0 S of Lowell Rte 100
FW,-72.0844334,44.59074745,1463,Moose,NULL,NULL,8/17/97,-9999,NULL,-9999,-9999,-9999,NULL,DERBY,I 91/N 173/45
FW,-72.08450109,44.15174893,1229,Moose,NULL,NULL,5/17/98,-9999,NULL,-9999,-9999,-9999,NULL,EAST MONTPEL,W. Smith Rd - off Rte 214-E. Montpelier twn line
FW,-72.08501401,44.59097355,1209,Moose,NULL,NULL,5/22/98,-9999,NULL,-9999,-9999,-9999,NULL,BERLIN,I-89 MM 46/75 NBL
FW,-72.085765,44.69606744,1505,Moose,NULL,NULL,6/11/97,-9999,NULL,-9999,-9999,-9999,NULL,LINCOLN,French Settlement/So. Lincoln Rd
FW,-72.08583489,44.16350423,1439,Moose,NULL,NULL,6/6/94,-9999,NULL,-9999,-9999,-9999,NULL,CHESTER,RT 11 by Ellsworth Clinic
AOT,-72.08777146,44.15577909,182,Deer RK FD,"Deer, RoadKill, Fawn Doe",NULL,11/2/05,907,US 302,302,2.19,2.19,U302-0907,NEWBURY,NULL
FW,-72.08858204,44.69676605,1507,Moose,NULL,NULL,5/1/98,-9999,NULL,-9999,-9999,-9999,NULL,LONDONDERRY,Rt 11 .2 mi E of Rt 121 mm 0680
FW,-72.09142712,44.79522271,2565,Moose,NULL,NULL,6/10/98,-9999,NULL,-9999,-9999,-9999,NULL,RICHMOND,I-89
FW,-72.09222499,44.90884706,1150,Moose,NULL,NULL,10/7/90,-9999,NULL,-9999,-9999,-9999,NULL,MORGAN,UNDERPASS VT RT. 114
FW,-72.09527915,44.8225558,1113,Moose,NULL,NULL,8/16/98,-9999,NULL,-9999,-9999,-9999,NULL,GLOVER,I-91 North Mi Mar 153/55
FW,-72.10235691,44.01662454,1107,Moose,NULL,NULL,5/23/01,-9999,NULL,-9999,-9999,-9999,NULL,DERBY,"I-91 169/70 SB, EXIT 27"
FW,-72.10364417,44.59832906,2843,Moose,NULL,NULL,5/23/98,-9999,NULL,-9999,-9999,-9999,NULL,WARREN'S GOR,Rt 114 near Sucker Bk
FW,-72.10365145,44.12683935,1925,Bear,NULL,NULL,11/1/00,-9999,NULL,-9999,-9999,-9999,NULL,MAIDSTONE,VT RT 102 -- 500' N GUILDHALL TOWN LINE
FW,-72.10424197,44.12339403,2752,Moose,NULL,NULL,7/25/93,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,Rt. 2  Just East of Carr Brook
FW,-72.10610636,44.11399156,1927,Bear,NULL,NULL,4/1/00,-9999,NULL,-9999,-9999,-9999,NULL,MANCHESTER,BARNUMVILLE RD/HANLEY FARM RD
FW,-72.10726903,44.0464375,2556,Moose,NULL,NULL,8/15/95,-9999,NULL,-9999,-9999,-9999,NULL,COLCHESTER,EXIT 17 I 89
FW,-72.10727051,44.04774415,2779,Moose,NULL,NULL,6/26/96,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,State Highway 2 0.4 mi. e. of TH #22
AOT,-72.10792961,44.94648602,2001,Deer RK AD,"Deer, RoadKill, Adult Doe",Hit by auto,4/11/05,911,VT 113,113,6.5,6.5,V113-0911,THETFORD,NULL
FW,-72.10803012,44.04243613,1230,Moose,NULL,NULL,9/20/01,-9999,NULL,-9999,-9999,-9999,NULL,MIDDLESEX,I-89 MM 57/30
FW,-72.10847893,44.10295242,1924,Bear,NULL,NULL,9/4/95,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,RT2 .1 mi.NE TH44
FW,-72.1087899,44.04248688,1928,Bear,NULL,NULL,9/10/03,-9999,NULL,-9999,-9999,-9999,NULL,MENDON,RTE 4 - 50 YDS W OF KILLINGTON TOWN LINE
FW,-72.10886479,44.0602311,1930,Bear,NULL,NULL,9/16/93,-9999,NULL,-9999,-9999,-9999,NULL,MONTPELIER,I 89 S MM 53/65
FW,-72.10903644,44.03880783,2751,Moose,NULL,NULL,5/29/89,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,3.5 MI WEST FROM TOWN
FW,-72.10913945,44.04139519,1108,Moose,NULL,NULL,6/14/88,-9999,NULL,-9999,-9999,-9999,NULL,DERBY,I 91 MM 169 SB
FW,-72.10923443,44.09980714,1926,Bear,NULL,NULL,10/27/95,-9999,NULL,-9999,-9999,-9999,NULL,MANCHESTER,RT11 E. USFS RANGER STATION
FW,-72.1093528,44.60234243,2680,Moose,NULL,NULL,10/3/96,-9999,NULL,-9999,-9999,-9999,NULL,CANAAN,Rt 114/Cole Hill
FW,-72.10977558,44.60391677,1442,Moose,NULL,NULL,8/29/94,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,S. H. 2 0.6 mi. w. of SA Highway 4
FW,-72.1099922,44.09995238,2450,Moose,NULL,NULL,7/13/99,-9999,NULL,-9999,-9999,-9999,NULL,SHEFFIELD,SHEFFIELD HEIGHTS I-91
FW,-72.11009898,44.0997057,1929,Bear,NULL,NULL,11/4/00,-9999,NULL,-9999,-9999,-9999,NULL,MIDDLESEX,RT 12  SHADY RILL ROAD/WRIGHTSVILLE RESERVOIR
FW,-72.11099868,44.57042753,1286,Moose,NULL,NULL,5/22/99,-9999,NULL,-9999,-9999,-9999,NULL,WATERBURY,I-89 1 mi N of exit 10 SBL
FW,-72.11239939,44.42425806,1393,Moose,NULL,NULL,7/3/01,-9999,NULL,-9999,-9999,-9999,NULL,WINDSOR,"I-91 NB, MM 54/90"
FW,-72.11361426,44.02863683,1909,Bear,NULL,NULL,12/16/00,-9999,NULL,-9999,-9999,-9999,NULL,FAIRLEE,I-91  MM 93
FW,-72.11378636,44.70562155,1967,Bear,NULL,NULL,9/14/03,-9999,NULL,-9999,-9999,-9999,NULL,SPRINGFIELD,I-91  SB  MM 44/60
FW,-72.11437395,44.02859808,1913,Bear,NULL,NULL,8/27/01,-9999,NULL,-9999,-9999,-9999,NULL,VERNON,MM 2/65  I-91
FW,-72.11491894,44.60845987,1465,Moose,NULL,NULL,6/12/90,-9999,NULL,-9999,-9999,-9999,NULL,DUXBURY,Rt. 100 0.5 miles North of Harwood High
FW,-72.11557961,44.60914118,1526,Moose,NULL,NULL,11/19/96,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,SH 2 0.4 mi E town highway 22
FW,-72.11901308,44.61533967,1453,Moose,NULL,NULL,10/12/96,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,SH 2 0.5 mi E Carr Brook bridge
FW,-72.11921826,44.61425028,1481,Moose,NULL,NULL,5/23/95,-9999,NULL,-9999,-9999,-9999,NULL,FAIRLEE,I-91 MM 99
FW,-72.12089981,44.61832308,2762,Moose,NULL,NULL,5/22/87,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,STATE HWY 2 - .5 MI E OF TOWN HWY 4
FW,-72.12105621,44.01525822,1908,Bear,NULL,NULL,6/21/02,-9999,NULL,-9999,-9999,-9999,NULL,EAST MONTPEL,COUNTY RD - 3/10 S TEMPLETON RD
FW,-72.1222982,44.62029729,2681,Moose,NULL,NULL,8/15/97,-9999,NULL,-9999,-9999,-9999,NULL,CANAAN,Harriman Hill (top) Rt 114
FW,-72.12323355,44.62146227,2745,Moose,NULL,NULL,6/11/97,-9999,NULL,-9999,-9999,-9999,NULL,LEMINGTON,1 mi. S of Columbia Bridge rt. 102
FW,-72.124848,44.62213758,1472,Moose,NULL,NULL,5/8/90,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,Rt. 12 North of log bridge
FW,-72.12823494,43.9620298,1922,Bear,NULL,NULL,11/28/01,-9999,NULL,-9999,-9999,-9999,NULL,LONDONDERRY,RT 11 E OF POWER MILL RD
FW,-72.12867874,44.00151283,2371,Moose,NULL,NULL,10/20/00,-9999,NULL,-9999,-9999,-9999,NULL,WINHALL,"RT 30, 0.1 MI N OF FRENCH HOLLOW RD TURNOFF, NB LA"
FW,-72.12955035,44.63368608,1450,Moose,NULL,NULL,9/6/95,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,Hwy 2 0.3 mi. SW of TH 68
FW,-72.12965545,44.63398538,2753,Moose,NULL,NULL,6/4/90,-9999,NULL,-9999,-9999,-9999,NULL,GUILDHALL,ONE MI S OF LANCASTER BRIDGE
FW,-72.12972864,44.63535908,1473,Moose,NULL,NULL,7/10/93,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,Rt 12 .5 mile n. of 2000' x-ing
FW,-72.13047473,44.63467035,1479,Moose,NULL,NULL,4/30/98,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,Rt 12 Lake Elmore Cemetery
FW,-72.13059783,44.63553045,1252,Moose,NULL,NULL,6/4/99,-9999,NULL,-9999,-9999,-9999,NULL,MIDDLESEX,I-89 SBL MM 55/50
FW,-72.13069657,43.98259106,1910,Bear,NULL,NULL,5/21/03,-9999,NULL,-9999,-9999,-9999,NULL,FAIRLEE,I-91  MM 89/65
FW,-72.1307203,44.71382076,1099,Moose,NULL,NULL,6/1/91,-9999,NULL,-9999,-9999,-9999,NULL,COVENTRY,RT 5 2.5 MI N OF VILLAGE
FW,-72.13073845,44.6364095,1477,Moose,NULL,NULL,8/1/97,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,Rt 12 approx 3 mi S of Elmore village
FW,-72.13110983,43.94756394,2372,Moose,NULL,NULL,9/14/97,-9999,NULL,-9999,-9999,-9999,NULL,WINHALL,Rt.30  1/10 mile south of Rt.11
FW,-72.13150112,44.67622357,1444,Moose,NULL,NULL,5/11/95,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,U.S. Highway 2 .1m E Carr Brook
FW,-72.13150112,44.67622357,1457,Moose,NULL,NULL,6/2/98,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,Miles Pond and Carr Brook
FW,-72.13154383,44.67694697,1460,Moose,NULL,NULL,5/9/98,-9999,NULL,-9999,-9999,-9999,NULL,DANVILLE,State garage US 2 West Danville
FW,-72.13159092,44.6720244,2845,Moose,NULL,NULL,11/14/98,-9999,NULL,-9999,-9999,-9999,NULL,WARREN'S GOR,Rt 114 100 YARDS N of Morgan/Warren Gore Line
FW,-72.13159536,44.64577604,2754,Moose,NULL,NULL,7/14/94,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,RT 2 .75 MILE EAST OF CONCORD TOWN LINE
FW,-72.13166365,44.67915701,1476,Moose,NULL,NULL,6/23/95,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,1 mi. N of Worcester line.
FW,-72.13172237,44.67838939,1456,Moose,NULL,NULL,9/11/97,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,Rt. 2 Velcoline
FW,-72.13184862,44.67910793,1448,Moose,NULL,NULL,8/10/95,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,Hwy 2 0.1 mi. east of Carr Brook
FW,-72.13184862,44.67910793,1491,Moose,NULL,NULL,10/25/94,-9999,NULL,-9999,-9999,-9999,NULL,GLOVER,Rt. 16 - Runaway Pond
FW,-72.13195467,44.67966991,2294,Moose,NULL,NULL,4/13/03,-9999,NULL,-9999,-9999,-9999,NULL,WINDHAM,Rt 11  1/10 Mi. West of Andover Town Line
FW,-72.13214201,44.68022198,1462,Moose,NULL,NULL,6/29/97,-9999,NULL,-9999,-9999,-9999,NULL,DERBY,I 91 MM 168/40 .5 mi South of Newport exit (NBL)
FW,-72.13266799,44.66482808,1251,Moose,NULL,NULL,5/18/98,-9999,NULL,-9999,-9999,-9999,NULL,MIDDLESEX,I 89 mm 56/45 southbound
FW,-72.13267071,44.66465692,1443,Moose,NULL,NULL,10/13/94,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,SH 2 0.6 mi. w. of SA Highway 4
FW,-72.13267071,44.66465692,1454,Moose,NULL,NULL,6/6/97,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,SH 2 .2mi. Southwest Carr Bk
FW,-72.13267071,44.66465692,1455,Moose,NULL,NULL,9/11/97,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,Rt. 2  Carr Brook
FW,-72.13275954,43.91898925,2799,Moose,NULL,NULL,6/4/00,-9999,NULL,-9999,-9999,-9999,NULL,NORTON,"NORTH END NORTON PD. @ MOOSELICK, VT RT 114"
FW,-72.13286805,44.67556518,1485,Moose,NULL,NULL,1/28/93,-9999,NULL,-9999,-9999,-9999,NULL,FERDINAND,Rt 105 at Wenlock X-ing
FW,-72.13289763,44.67303813,1253,Moose,NULL,NULL,8/2/00,-9999,NULL,-9999,-9999,-9999,NULL,MONTPELIER,I 89 NB 2 EXIT 8
FW,-72.13298818,44.67591573,1475,Moose,NULL,NULL,5/13/95,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,Rt. 12 crossing 3000' sign.
FW,-72.13307921,44.67823933,1466,Moose,NULL,NULL,5/3/98,-9999,NULL,-9999,-9999,-9999,NULL,DUXBURY,Rt 100-- Dux Store
FW,-72.13308701,44.68335789,1447,Moose,NULL,NULL,7/26/95,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,Hwy 2 0.1 mi. East of Carr Brook
FW,-72.13308807,44.67901392,1469,Moose,NULL,NULL,5/25/90,-9999,NULL,-9999,-9999,-9999,NULL,EDEN,Rt. 118 by Belvidere Pond.
FW,-72.13318047,43.9856362,2673,Moose,NULL,NULL,10/28/94,-9999,NULL,-9999,-9999,-9999,NULL,CANAAN,BOTTOM OF COLE HILLE ON 114
FW,-72.13319027,44.67964778,1483,Moose,NULL,NULL,10/26/85,-9999,NULL,-9999,-9999,-9999,NULL,FERDINAND,Rt. 105 at South America turn
FW,-72.1332607,43.93552961,1923,Bear,NULL,NULL,6/29/86,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,.5 mi. E.VELCOLINE RT2
FW,-72.13329239,44.66105475,1451,Moose,NULL,NULL,6/11/96,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,SH 1 0.2 mi N town highway 17
FW,-72.13329919,44.67977691,1487,Moose,NULL,NULL,6/13/93,-9999,NULL,-9999,-9999,-9999,NULL,FERDINAND,Rt. 105 2-3 mi. W.of Wenlock Cross.
FW,-72.13337178,44.68044605,1480,Moose,NULL,NULL,6/21/99,-9999,NULL,-9999,-9999,-9999,NULL,ESSEX,Rt 15 Susie Wilson inters.
FW,-72.13340041,44.68404679,1461,Moose,NULL,NULL,5/22/01,-9999,NULL,-9999,-9999,-9999,NULL,DANVILLE,"RTE 2, 1 MILE E OF WEST DANVILLE"
FW,-72.13342373,44.68053,1470,Moose,NULL,NULL,10/30/97,-9999,NULL,-9999,-9999,-9999,NULL,EDEN,Rte 100 - Eden/Hyde Park line
FW,-72.1335079,44.65961107,1446,Moose,NULL,NULL,6/3/95,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,U.S. Highway 2 .1m E State Aid Highway 4
FW,-72.13354567,44.66500467,1478,Moose,NULL,NULL,9/4/00,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,"RT 12, 2 MI S OF LACASSE RD"
FW,-72.1337688,44.66459449,1471,Moose,NULL,NULL,5/28/90,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,Rt. 12 mile 0180
FW,-72.13376946,44.6653713,1484,Moose,NULL,NULL,5/20/87,-9999,NULL,-9999,-9999,-9999,NULL,FERDINAND,Rt. 105 just East of Wenlock crossing
FW,-72.13400437,44.68274592,1467,Moose,NULL,NULL,11/13/88,-9999,NULL,-9999,-9999,-9999,NULL,EAST BURKE,Rt. 114 turnoff to go to Gallup Mills
FW,-72.13402076,44.68266678,1486,Moose,NULL,NULL,8/10/88,-9999,NULL,-9999,-9999,-9999,NULL,FERDINAND,Rt 105 by Notch Pond Road
FW,-72.13413642,44.65011066,1474,Moose,NULL,NULL,10/2/93,-9999,NULL,-9999,-9999,-9999,NULL,ELMORE,Rt. 12 Worcester Woods
FW,-72.13428899,44.6859059,2380,Moose,NULL,NULL,7/11/96,-9999,NULL,-9999,-9999,-9999,NULL,BURKE,Newark rd. (TH1) 1.5 mi. up from Rt.5
FW,-72.13481473,44.68506832,1468,Moose,NULL,NULL,4/23/90,-9999,NULL,-9999,-9999,-9999,NULL,EAST MONTPEL,Rt. 2 Near landfill
FW,-72.13515694,44.68744204,1452,Moose,NULL,NULL,5/27/96,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,SH 2 0.3 mi E. Carr Brook Bridge
FW,-72.13533203,43.98748094,1911,Bear,NULL,NULL,10/13/03,-9999,NULL,-9999,-9999,-9999,NULL,THETFORD,I-91  SB  MM 88/40
FW,-72.13603104,44.68874853,1445,Moose,NULL,NULL,5/22/95,-9999,NULL,-9999,-9999,-9999,NULL,CONCORD,U.S. Highway 2 .1m East Carr Brook.
FW,-72.13669422,44.63086086,2477,Moose,NULL,NULL,9/2/91,-9999,NULL,-9999,-9999,-9999,NULL,SHEFFIELD,I 91 SHEFFIELD HEIGHTS
FW,-72.13868221,44.69250797,1459,Moose,NULL,NULL,10/1/01,-9999,NULL,-9999,-9999,-9999,NULL,CRAFTSBURY,"RTE 14, S OF ALBANY"
